주문번호,주문항번,주문일자,출하일자,출하거래처,출하거래처명,출하거래처약칭,담당자,품목,품목명,규격,수주수량,단가,원화금액,부가세,부가세유형,입력경로,수주번호,수주항번,납기일,수주단위,비고,주문진행상태,확정금액,확정부가세,확정총금액,확정수량,회사,공장,담당호차,담당호차명,CBM,로케이션
,,,,,,,,,,,"34,934",,"542,792,083","46,340,779",,,,,,,,,"542,792,083","46,340,779","589,132,862","34,934",,,,,,
WSO2026040000887,1,2026/04/27,2026/05/01,11148,딜리버리 삼성점(티엘컴퍼니),수도권,물류03호차,120450343,"고추가루(굵은,국5:중5)",C01-201 1박스(400개),1,"86,400","86,400","8,640",과세(세금계산서),200,,,2026/05/01,BOX,,출하처리,"86,400","8,640","95,040",1,1000,1000,M00003,물류03호차,상온,C01-201
WSO2026040000887,2,2026/04/27,2026/05/01,11148,딜리버리 삼성점(티엘컴퍼니),수도권,물류03호차,120450344,"고추가루(고운,국5,중5)",C02-101 1박스(500개),1,"64,500","64,500","6,450",과세(세금계산서),200,,,2026/05/01,BOX,,출하처리,"64,500","6,450","70,950",1,1000,1000,M00003,물류03호차,상온,C02-101
WSO2026040000887,3,2026/04/27,2026/05/01,11148,딜리버리 삼성점(티엘컴퍼니),수도권,물류03호차,110350814,(종료)건고추(베트남),C05-202 (100EA(1줄)*30줄),5,"1,631","8,155",815,과세(세금계산서),200,,,2026/05/01,EA,,출하처리,"8,155",815,"8,970",5,1000,1000,M00003,물류03호차,상온,C05-202
WSO2026040000887,4,2026/04/27,2026/05/01,11148,딜리버리 삼성점(티엘컴퍼니),수도권,물류03호차,120751520,(종료)땅콩분태,C01-602A (100EA(1줄)*30줄),7,"1,261","8,827",882,과세(세금계산서),200,,,2026/05/01,EA,,출하처리,"8,827",882,"9,709",7,1000,1000,M00003,물류03호차,상온,C01-602A
WSO2026040000887,5,2026/04/27,2026/05/01,11148,딜리버리 삼성점(티엘컴퍼니),수도권,물류03호차,250251466,(종료)크러쉬드페퍼(레드페퍼)_과세,C01-602B (100EA(1줄)*30줄),6,939,"5,634",563,과세(세금계산서),200,,,2026/05/01,EA,,출하처리,"5,634",563,"6,197",6,1000,1000,M00003,물류03호차,상온,C01-602B
WSO2026040000887,5,2026/04/27,2026/05/01,11148,딜리버리 삼성점(티엘컴퍼니),수도권,물류03호차,120851542,베트남고추(냉동),C01-602B (100EA(1줄)*30줄),6,939,"5,634",563,과세(세금계산서),200,,,2026/05/01,EA,,출하처리,"5,634",563,"6,197",6,1000,1000,M00003,물류03호차,상온,C01-602B
